l'e^tre|being, entity
le moyen|means
si|if
presque|almost
il s'agit de|it concerns, it's about
aller|go
faire|do, make
ouvrage|work
pense/e|thought
terre|earth, ground
sinon|if not
ne...jamais|never
fre\re|brother
jour|day
enseigner|teach
jouer|play
fois|time
environ|about
sante/|health
attirer|attract
mieux|better, best
meilleur|better, best
besoin|need
devoir|duty
en effet|in fact
famille|family
hier|yesterday
vouloir bien|be willing
vouloir dire|mean
vouloir|want, wish
pouvoir|be able
quelque|some
quelquefois|sometimes
gra^ce a\|thanks to
comme|like, as, how
utile|useful
dont|whose, of whom, of which
nez|nose
choix|choice
tableau|picture
lieu|place
genou|knee
beau|beautiful
fait|fact
ne...plus|no longer
aujourd'hui|today
servir de|serve as
il faut|one must, it is necessary
appeler|call

