connai^tre|know, be acquainted with
mettre|put
soumettre|submit, turn in
parmi|among
enfance|childhood
roman|novel
a\ l'e/tranger|abroad
il suffit|it is enough, it suffices
pour que|so that, in order that
puis|then, next
cerveau|brain
huile|oil
baisser|lower
souvenir|memory
e/crire|write
prendre|take
d'abord|first
autrefois|formerly, previously
a\ la suite de|after, as a result of
front|forehead
e/prouver|experience, feel
oublier|forget
me/decin|doctor, physician
expliquer|explain
phrase|sentence
oublier|forget
tous les deux|both
mort|death
selon|according to
tirer|pull, draw out
moi|me
toi|you
lui|him
soi|oneself
eux|them
avoir raison|be right
avoir tort|be wrong
ajouter|add
mari|husband
co^te/|side
vite|quickly
entre|between
propre|own
songer|think of
main|hand
vivre|live
aveugle|blind
bonheur|happiness
coeur|heart
renseigner|inform
devant|before
remercier|thank
oreille|ear
laisser|let

